Name,Label code
Q0_S1_T3.JPG,Porites
Q0_S1_T3.JPG,Porites
Q0_S1_T3.JPG,Porites
Q0_S1_T3.JPG,Macroalgae
Q0_S1_T3.JPG,Macroalgae
Q0_S1_T3.JPG,Porites
Q0_S1_T3.JPG,Porites
Q0_S1_T3.JPG,Porites
Q0_S1_T3.JPG,Porites
Q0_S1_T3.JPG,Porites
Q0_S1_T3.JPG,Porites
Q0_S1_T3.JPG,Porites
Q0_S1_T3.JPG,Porites
Q0_S1_T3.JPG,Porites
Q0_S1_T3.JPG,Sand
Q0_S1_T3.JPG,Sand
Q0_S1_T3.JPG,Sand
Q0_S1_T3.JPG,Sand
Q0_S1_T3.JPG,Sand
Q0_S1_T3.JPG,Sand
Q0_S1_T3.JPG,Sand
Q0_S1_T3.JPG,Sand
Q0_S1_T3.JPG,Sand
Q0_S1_T3.JPG,Porites
Q0_S1_T3.JPG,Porites
Q0_S1_T3.JPG,CCA_bare
Q0_S1_T3.JPG,Porites
Q0_S1_T3.JPG,Porites
Q0_S1_T3.JPG,Porites
Q0_S1_T3.JPG,Sand
Q0_S1_T3.JPG,CCA_bare
Q0_S1_T3.JPG,CCA_bare
Q0_S1_T3.JPG,CCA_bare
Q0_S1_T3.JPG,Porites
Q0_S1_T3.JPG,Sand
Q0_S1_T3.JPG,Sand
Q0_S1_T3.JPG,Sand
Q0_S1_T3.JPG,Sand
Q0_S1_T3.JPG,Sand
Q0_S1_T3.JPG,Sand
Q0_S1_T3.JPG,Sand
Q0_S1_T3.JPG,Sand
Q0_S1_T3.JPG,Porites
Q0_S1_T3.JPG,Sand
Q0_S1_T3.JPG,Porites
Q0_S1_T3.JPG,Sand
Q0_S1_T3.JPG,Porites
Q0_S1_T3.JPG,Sand
Q0_S1_T3.JPG,Sand
Q0_S1_T3.JPG,Sand
Q0_S1_T3.JPG,Sand
Q0_S1_T3.JPG,Sand
Q0_S1_T3.JPG,Porites
Q0_S1_T3.JPG,Porites
Q0_S1_T3.JPG,Porites
Q0_S1_T3.JPG,Sand
Q0_S1_T3.JPG,CCA_bare
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
Q10_S1_T3.JPG,Sand
